abs time (s)	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay	Fx	Fy	Fz	Mx	My	Mz	Ax	Ay
	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m	N	N	N	N m	N m	N m	m	m
0.012500	-1.278284	1.652556	1.274445	-0.237983	-0.031481	0.274490	0.024702	-0.186735	-3.822135	-0.961112	-2.616370	0.463613	-0.227460	-0.507983	0.000000	0.000000	0.086131	3.114138	-0.661669	0.015947	-0.047305	-0.538731	0.000000	0.000000
0.013542	-0.896814	2.186613	1.579620	0.002037	-0.183306	0.102829	0.116044	0.001290	-3.631400	-0.808524	-1.411728	0.694928	-0.070887	-0.491199	0.000000	0.000000	0.009837	3.419314	1.346067	0.077031	-0.100297	-0.572300	0.074511	0.057226
0.014583	-1.125696	1.957731	0.053741	-0.076851	-0.241747	0.205826	4.498343	-1.430007	-3.898429	-0.732230	-1.813275	-0.353901	-0.135895	-0.541553	0.000000	0.000000	-0.104604	3.381167	-1.063216	0.079434	0.085235	-0.529576	0.000000	0.000000
0.015625	-1.125696	2.110319	-0.861786	-0.331978	-0.188341	0.247788	0.000000	0.000000	-3.822135	-0.884818	-2.214823	-0.424598	-0.082903	-0.498828	0.000000	0.000000	0.086131	3.495607	1.747614	-0.008085	0.241809	-0.532628	-0.138365	-0.004626
0.016667	-1.201990	2.415495	0.664093	0.416619	0.183820	0.280213	-0.276799	0.627350	-3.745841	-0.922965	-3.419464	0.139972	-0.126282	-0.488147	0.000000	0.000000	0.086131	3.228579	0.944520	0.008738	-0.143677	-0.576878	0.152116	0.009251
0.017708	-1.278284	2.034025	0.358917	0.173241	-0.298510	0.261139	0.831696	0.482677	-3.745841	-0.884818	-1.813275	0.619425	-0.319025	-0.492725	0.000000	0.000000	0.009837	3.343020	-1.464763	-0.319710	0.140631	-0.557042	0.000000	0.000000
0.018750	-1.278284	1.957731	0.053741	0.090996	-0.031481	0.110458	0.585788	1.693223	-3.860282	-0.922965	-3.419464	0.300590	-0.326235	-0.489673	0.000000	0.000000	-0.104604	3.381167	-1.464763	0.320362	-0.059322	-0.560093	0.000000	0.000000
0.019792	-1.430871	1.881437	-1.166962	0.092675	0.071974	0.150513	0.000000	0.000000	-3.783988	-0.884818	-3.017917	-0.103360	-0.080500	-0.500354	0.000000	0.000000	-0.066457	3.533754	0.542973	0.069821	-0.105104	-0.552464	0.193571	0.128590
0.020833	-1.125696	2.262907	-0.251434	0.000359	-0.081530	0.194382	0.000000	0.000000	-3.745841	-0.770377	-3.017917	0.371287	-0.367211	-0.530872	0.000000	0.000000	0.047984	3.381167	-1.063216	0.400672	0.094848	-0.523472	0.000000	0.000000
0.021875	-1.201990	1.957731	0.969269	0.342766	0.023603	0.268768	-0.024352	0.353634	-3.669547	-0.694083	-1.411728	0.205861	-0.073290	-0.515613	0.000000	0.000000	0.086131	3.495607	-1.063216	0.072224	0.193623	-0.535679	0.000000	0.000000
0.022917	-1.125696	2.339201	0.053741	0.250450	-0.241747	0.219177	4.498342	4.660289	-3.822135	-0.770377	-1.010181	0.290977	-0.034717	-0.512561	0.000000	0.000000	0.047984	3.457461	-2.669404	0.074627	-0.001523	-0.535679	0.000000	0.000000
0.023958	-1.125696	1.881437	-0.251434	0.344445	-0.401964	0.207733	0.000000	0.000000	-3.783988	-0.922965	-2.214823	0.059662	-0.369614	-0.538501	0.000000	0.000000	0.009837	3.495607	0.141426	-0.008085	-0.148483	-0.538731	1.049903	-0.057170
0.025000	-1.278284	2.186613	0.969269	0.002037	-0.191698	0.097107	0.197776	0.002102	-3.898429	-0.732230	-2.214823	0.690121	0.008662	-0.541553	0.000000	0.000000	-0.066457	3.571901	-2.267857	-0.334129	0.039453	-0.553990	0.000000	0.000000
0.026042	-1.201990	1.728849	1.579620	-0.323585	0.023603	0.156235	-0.014942	-0.204850	-3.707694	-0.694083	-1.411728	0.527099	-0.653921	-0.520190	0.000000	0.000000	0.086131	3.457461	-0.661669	0.315556	0.338180	-0.534154	0.000000	0.000000
0.027083	-1.125696	2.415495	0.358917	0.164849	-0.295153	0.247788	0.822343	0.459294	-3.707694	-0.732230	-4.222558	-0.353901	0.068864	-0.500354	0.000000	0.000000	-0.066457	3.266726	-2.669404	0.407881	-0.105104	-0.547886	0.000000	0.000000
0.028125	-1.354577	1.957731	0.358917	-0.160774	-0.300188	0.211548	0.836372	-0.447942	-3.745841	-0.808524	-4.624105	0.373690	-0.463582	-0.511035	0.000000	0.000000	0.200572	3.419314	-0.661669	-0.003279	-0.232838	-0.512791	0.000000	0.000000
