BioWare Version 5.0.3.0 Export
Device:	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11
Samples (#):	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840
Rate (Hz):	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000
Contact period start (sample #):	594	594	594	594	594	594	594	594	0	0	0	0	0	0	0	0	1310	1310	1310	1310	1310	1310	1310	1310
Contact period end (sample #):	1519	1519	1519	1519	1519	1519	1519	1519	794	794	794	794	794	794	794	794	2278	2278	2278	2278	2278	2278	2278	2278
Contact period start time (s):	0.618750	0.618750	0.618750	0.618750	0.618750	0.618750	0.618750	0.618750	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.364583	1.364583	1.364583	1.364583	1.364583	1.364583	1.364583	1.364583
Contact period end time (s):	1.582292	1.582292	1.582292	1.582292	1.582292	1.582292	1.582292	1.582292	0.827083	0.827083	0.827083	0.827083	0.827083	0.827083	0.827083	0.827083	2.372917	2.372917	2.372917	2.372917	2.372917	2.372917	2.372917	2.372917
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
