BioWare Version 5.0.3.0 Export
Device:	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	UniHalleKlein 9286BA	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	TEZ Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11	Spowi Klein 9281B11
Samples (#):	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840	3840
Rate (Hz):	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000	960.000000
Contact period start (sample #):	932	932	932	932	932	932	932	932	280	280	280	280	280	280	280	280	1586	1586	1586	1586	1586	1586	1586	1586
Contact period end (sample #):	1816	1816	1816	1816	1816	1816	1816	1816	1135	1135	1135	1135	1135	1135	1135	1135	2518	2518	2518	2518	2518	2518	2518	2518
Contact period start time (s):	0.970833	0.970833	0.970833	0.970833	0.970833	0.970833	0.970833	0.970833	0.291667	0.291667	0.291667	0.291667	0.291667	0.291667	0.291667	0.291667	1.652083	1.652083	1.652083	1.652083	1.652083	1.652083	1.652083	1.652083
Contact period end time (s):	1.891667	1.891667	1.891667	1.891667	1.891667	1.891667	1.891667	1.891667	1.182292	1.182292	1.182292	1.182292	1.182292	1.182292	1.182292	1.182292	2.622917	2.622917	2.622917	2.622917	2.622917	2.622917	2.622917	2.622917
First sample time (s):	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
Normalized force (N):	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814	0.134814
Normalized length (m):	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000	1.000000
File Information
