NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:10:42	2482.90614561
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	-408.226	376.930	1412.088	-629.377	332.541	1282.341	-658.631	334.266	872.392	-612.643	505.919	1262.141	-610.295	556.001	983.856	-514.468	600.918	793.994	-465.613	558.826	634.220	-577.759	516.556	836.174	-389.521	499.139	404.997	-603.350	460.599	125.576	0.000	0.000	0.000	-476.000	457.762	13.043	-551.305	174.301	1246.951	-540.389	110.313	978.937	-429.542	106.997	788.578	-388.977	166.721	636.631	-582.652	191.532	851.085	-528.542	247.615	385.671	-600.774	277.202	35.580	-590.756	351.256	54.992	-433.533	329.980	3.762
2	0.00417	-405.604	376.561	1411.580	-627.008	332.261	1282.520	-656.427	334.169	872.097	-610.431	505.575	1261.999	-608.111	555.556	983.480	-512.239	600.497	793.774	-462.623	558.116	634.584	-575.744	516.849	836.423	-385.998	498.789	405.162	-593.575	460.796	121.960	0.000	0.000	0.000	-462.833	458.649	12.957	-548.742	174.203	1247.102	-538.236	109.796	979.061	-426.682	107.292	789.151	-386.503	166.522	637.338	-580.415	191.406	850.974	-527.603	247.621	385.475	-600.655	277.421	35.639	-593.338	348.755	58.938	-434.182	329.415	3.510
3	0.00833	-403.055	377.321	1411.366	-624.662	331.995	1282.493	-654.256	334.046	871.890	-608.127	505.971	1261.751	-606.120	555.193	983.465	-509.906	600.034	793.531	-460.512	557.312	635.796	-569.284	513.671	835.073	-381.701	498.573	408.405	-583.606	461.309	118.566	-541.327	396.743	116.440	-450.414	458.755	12.451	-546.283	174.007	1246.981	-533.900	111.710	979.189	-423.830	107.386	789.349	-383.923	167.235	638.644	-578.511	191.387	850.962	-525.386	250.118	384.456	-601.045	277.323	35.893	-591.011	351.503	55.744	-434.175	329.496	4.473
4	0.01250	-401.015	377.347	1411.303	-622.444	331.790	1282.278	-652.008	334.221	871.394	-605.984	505.291	1261.877	-603.935	554.632	983.144	-508.164	599.329	792.583	-457.488	557.005	635.229	-566.507	514.187	835.478	-377.259	498.635	410.113	-573.232	461.474	115.025	-533.317	397.286	115.735	-438.214	459.918	13.966	-544.056	173.861	1247.292	-531.724	110.760	979.412	-421.258	107.626	789.430	-381.156	167.793	638.167	-576.209	191.469	851.067	-524.902	250.293	383.795	-601.195	277.093	36.050	-591.642	351.368	56.333	-433.642	329.270	3.991
5	0.01667	-398.470	377.489	1410.959	-620.104	331.444	1282.185	-649.775	334.299	871.122	-603.926	505.172	1261.683	-602.185	554.045	982.759	-505.948	598.788	792.338	-454.625	556.644	635.499	-563.653	513.788	835.664	-373.579	498.545	410.712	-563.310	461.822	111.798	-522.316	397.660	113.009	-425.398	461.450	12.895	-541.553	173.715	1247.287	-529.328	110.431	979.453	-418.806	107.689	789.469	-378.730	167.937	638.272	-574.127	191.313	851.049	-523.602	251.567	382.338	-600.955	277.181	36.195	-591.456	351.431	56.375	-433.712	329.568	4.435
6	0.02083	-396.376	377.394	1410.873	-617.941	331.185	1282.180	-647.577	334.275	870.848	-601.775	504.893	1261.442	-599.879	553.700	982.602	-503.973	598.202	791.740	-451.924	556.147	635.136	-560.741	513.348	835.795	-370.180	498.372	410.924	-553.131	462.356	108.333	-512.451	398.197	109.701	-413.136	461.882	13.132	-539.271	173.643	1247.348	-527.230	110.073	979.568	-416.287	107.640	789.544	-375.962	168.518	638.235	-572.253	190.910	850.777	-522.892	251.579	381.983	-601.154	277.195	36.095	-591.950	351.419	55.670	-433.908	329.139	3.721
7	0.02500	-394.098	377.475	1410.477	-615.545	331.228	1281.832	-645.273	334.112	870.599	-599.522	504.778	1261.189	-597.706	553.290	982.337	-501.807	597.603	791.388	-449.346	555.874	634.975	-558.470	513.437	835.719	-367.191	498.056	411.198	-542.889	462.986	104.979	-503.374	398.010	108.024	-400.245	462.797	14.341	-536.880	173.277	1247.324	-524.757	109.841	979.653	-413.793	107.743	789.621	-373.327	169.085	638.541	-570.295	190.916	850.709	-522.216	251.618	381.858	-601.162	277.255	36.024	-591.836	351.552	55.520	-433.794	329.152	3.931
8	0.02917	-391.610	377.573	1410.565	-613.174	331.082	1281.633	-643.085	333.873	870.353	-597.362	504.602	1261.061	-595.517	552.961	982.061	-499.636	597.396	790.946	-446.560	555.614	635.282	-556.186	513.307	835.919	-363.843	497.684	411.616	-532.563	463.646	101.660	-491.972	399.746	104.438	-387.903	464.219	14.750	-534.576	173.111	1247.165	-522.214	109.668	979.685	-411.210	108.098	789.631	-370.782	169.802	638.565	-568.419	190.727	850.698	-521.028	251.622	382.006	-601.062	277.429	36.072	-591.718	351.566	56.130	-433.571	329.190	3.908
9	0.03333	-389.077	377.868	1410.480	-610.898	330.931	1281.616	-640.844	334.065	870.089	-595.115	504.485	1261.003	-593.510	552.482	981.671	-497.485	596.950	790.576	-444.239	554.937	634.617	-553.928	513.254	835.855	-359.681	498.363	413.254	-522.336	464.002	98.523	-481.395	399.306	103.233	-375.310	464.847	15.311	-532.302	173.025	1247.081	-520.147	109.331	979.774	-408.602	108.204	789.750	-368.223	170.383	638.529	-566.479	190.501	850.731	-520.324	251.447	381.753	-601.012	277.355	36.091	-591.752	351.627	56.107	-433.503	329.220	3.986
10	0.03750	-386.878	377.843	1410.270	-608.628	330.705	1281.260	-638.577	334.201	869.857	-593.098	504.345	1260.882	-591.310	552.156	981.601	-495.418	596.589	790.381	-441.881	554.839	634.361	-551.675	513.356	835.722	-355.633	498.795	414.700	-511.911	464.624	95.264	-470.697	401.039	98.753	-362.726	466.147	15.404	-530.016	172.924	1247.012	-517.753	109.150	979.691	-406.163	108.547	789.536	-366.001	170.929	638.179	-564.397	190.499	850.733	-519.774	251.339	381.656	-600.882	277.430	36.169	-591.505	351.901	55.315	-433.591	329.140	3.868
