NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:09:59	2439.62344823
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	-348.771	395.597	1412.238	-564.694	361.573	1270.050	-585.753	373.831	859.927	-531.128	532.769	1245.098	-529.865	580.481	968.646	-445.991	621.401	772.253	-414.793	583.919	607.658	-466.279	529.293	823.910	-288.221	497.956	409.646	-260.746	493.769	60.046	-242.158	421.442	80.720	-93.732	456.826	62.730	-498.881	195.028	1236.093	-489.517	134.187	968.964	-397.693	123.213	768.212	-380.675	176.670	611.432	-533.716	220.881	838.679	-521.814	279.786	371.254	-636.341	320.653	37.070	-616.137	392.436	54.613	-465.991	348.870	1.132
2	0.00417	-346.406	395.319	1411.157	-562.391	361.688	1269.683	-583.060	374.255	859.287	-528.760	532.832	1244.789	-527.448	580.381	968.326	-443.425	621.548	771.776	-412.632	584.013	607.003	-464.141	530.245	822.448	-286.630	497.684	409.230	-255.144	493.907	59.644	-236.723	422.012	81.651	-88.586	455.712	63.031	-496.696	195.129	1235.469	-487.215	134.142	968.619	-395.165	122.946	767.612	-378.247	176.504	610.961	-531.133	220.990	838.119	-520.533	279.701	371.039	-636.137	320.718	37.123	-615.934	392.413	54.708	-465.883	348.975	1.291
3	0.00833	-343.480	396.157	1411.506	-559.555	361.915	1269.129	-580.099	374.408	858.823	-526.263	532.907	1244.379	-524.659	580.698	967.798	-441.710	621.475	770.608	-410.747	583.916	606.430	-461.551	530.361	822.332	-284.565	497.376	409.007	-249.384	494.484	59.659	-231.736	422.220	81.602	-83.238	455.413	63.622	-494.814	194.847	1235.046	-485.097	133.832	968.223	-392.701	122.866	767.078	-375.728	175.875	610.091	-528.532	221.040	837.929	-519.282	279.736	370.745	-635.994	320.744	37.228	-615.842	392.460	54.725	-465.770	349.008	1.339
4	0.01250	-341.692	396.250	1410.985	-557.440	362.302	1268.660	-577.178	374.611	858.246	-523.582	533.143	1244.118	-522.075	580.829	967.057	-439.385	621.214	769.632	-409.177	583.381	606.702	-458.489	534.067	823.584	-282.799	496.983	409.032	-244.177	494.950	60.179	-226.681	423.419	81.055	-77.939	454.484	65.803	-492.630	194.921	1234.870	-481.552	135.305	967.287	-390.038	122.803	766.936	-371.844	176.391	609.846	-526.664	220.840	837.761	-518.170	279.557	370.559	-636.666	320.429	37.938	-615.594	392.006	55.050	-466.036	348.443	1.760
5	0.01667	-339.214	396.375	1410.658	-555.109	362.347	1268.053	-574.273	375.023	857.721	-521.016	533.494	1243.766	-519.607	580.789	966.392	-437.209	621.373	769.297	-406.938	583.266	605.733	-454.883	534.028	822.913	-280.600	497.478	408.974	-238.859	495.513	60.408	-222.070	423.577	80.977	-73.436	453.314	66.340	-490.235	195.081	1234.428	-479.226	135.393	966.865	-387.710	122.752	766.803	-369.573	176.205	609.481	-524.091	221.027	837.396	-516.784	279.609	370.609	-636.486	320.556	38.101	-615.267	392.139	55.151	-466.086	348.160	1.775
6	0.02083	-336.380	396.592	1410.794	-552.571	362.413	1267.835	-571.510	375.432	857.317	-518.327	533.797	1242.682	-517.039	580.964	965.876	-435.326	621.582	768.599	-405.063	583.317	604.840	-451.895	534.677	822.072	-278.510	497.604	408.451	-234.523	495.321	59.679	-217.762	424.087	80.307	-68.386	452.463	67.626	-487.957	195.286	1233.573	-476.938	135.310	966.448	-385.287	122.623	766.167	-366.823	175.935	609.114	-521.562	221.409	836.856	-515.498	279.554	370.240	-636.092	320.566	38.162	-615.004	392.045	55.273	-465.978	348.222	1.736
7	0.02500	-334.330	396.530	1409.501	-549.987	362.579	1267.360	-568.647	375.688	856.890	-515.779	533.870	1242.380	-514.480	581.024	965.225	-432.971	621.409	767.883	-402.761	583.387	603.994	-449.253	534.803	820.833	-276.017	497.781	407.705	-229.264	496.086	59.473	-213.247	424.513	80.190	-64.280	452.040	67.805	-485.589	195.435	1233.048	-474.546	135.319	965.761	-382.783	122.529	765.692	-364.150	175.617	607.944	-518.831	221.566	836.289	-514.132	279.433	369.730	-636.112	320.190	38.179	-614.662	392.461	55.727	-466.000	348.059	1.757
8	0.02917	-331.449	396.613	1409.129	-547.548	362.715	1266.739	-565.858	375.781	856.417	-513.333	534.218	1241.652	-511.915	581.059	964.850	-430.645	621.251	767.313	-400.809	583.756	603.418	-446.464	534.764	820.530	-273.992	497.781	406.589	-224.705	496.486	59.689	-209.367	424.889	79.719	-60.162	451.372	68.219	-483.320	195.505	1232.585	-471.671	135.781	964.820	-380.333	122.360	765.235	-361.709	175.456	607.633	-516.375	221.684	836.096	-512.067	279.979	368.807	-636.709	320.825	38.712	-614.376	392.518	55.806	-465.842	348.187	1.844
9	0.03333	-328.911	397.040	1408.595	-545.019	362.817	1266.178	-562.968	376.058	855.989	-510.711	534.360	1241.013	-509.489	580.919	964.197	-428.399	621.134	766.662	-398.652	583.605	602.561	-443.671	534.762	820.009	-271.775	497.453	405.165	-220.698	496.803	59.385	-206.031	425.060	79.241	-56.081	450.577	68.733	-481.118	195.776	1231.825	-469.389	135.815	964.470	-377.832	122.331	764.911	-359.139	175.257	606.863	-513.824	222.071	835.777	-510.729	279.947	368.173	-636.421	320.931	38.725	-613.911	392.543	56.262	-465.818	347.977	1.851
10	0.03750	-326.360	397.297	1408.109	-542.450	363.254	1265.658	-560.192	376.283	855.602	-508.174	534.498	1240.549	-506.950	581.018	963.808	-426.034	621.327	765.918	-396.684	583.700	602.201	-440.692	534.946	820.331	-269.404	497.553	404.919	-216.778	497.295	59.180	-202.478	425.215	78.745	-52.086	449.674	69.813	-478.844	195.875	1231.340	-466.888	135.846	963.820	-375.318	122.178	764.346	-356.777	174.924	606.232	-511.114	222.567	835.294	-508.994	280.013	367.500	-636.138	320.990	38.911	-613.532	392.592	56.705	-465.746	347.955	1.837
11	0.04167	-323.850	397.574	1407.694	-539.994	363.420	1265.262	-557.325	376.757	855.117	-505.627	534.683	1240.023	-504.293	581.359	963.475	-423.759	621.524	765.318	-394.570	583.720	601.695	-436.964	535.439	820.699	-267.275	497.311	404.242	-213.026	497.277	58.807	-199.641	425.321	78.339	-48.641	448.893	69.984	-476.483	195.900	1230.889	-464.114	136.354	963.085	-372.813	122.167	763.696	-353.898	174.042	605.556	-508.705	222.470	834.986	-507.102	280.165	366.729	-636.204	321.078	38.937	-613.259	392.615	56.981	-465.759	348.031	1.615
12	0.04583	-321.176	397.747	1407.224	-537.476	363.582	1264.682	-554.432	377.064	854.580	-502.965	534.869	1239.758	-501.803	581.401	962.942	-421.554	621.693	764.815	-392.260	584.123	601.252	-433.349	536.397	820.761	-265.206	497.281	404.559	-209.432	497.984	58.028	-196.781	425.086	77.981	-45.499	448.310	70.287	-473.814	195.941	1230.390	-461.793	136.476	962.604	-369.927	122.523	762.934	-351.271	174.066	605.290	-506.234	222.650	834.730	-505.681	280.414	366.422	-636.137	321.203	39.455	-612.701	392.920	57.284	-465.687	347.681	1.696
13	0.05000	-318.675	397.996	1406.927	-534.757	363.709	1264.501	-551.473	377.204	854.241	-500.412	535.057	1239.327	-499.185	581.381	962.480	-419.346	621.763	764.320	-390.335	584.063	600.903	-431.473	535.712	819.943	-262.597	497.409	404.565	-205.899	498.315	57.899	-193.842	425.294	77.695	-42.449	447.585	70.185	-471.540	196.234	1229.978	-459.253	136.689	962.346	-367.376	122.450	762.202	-348.609	174.074	605.042	-503.608	222.802	834.564	-504.045	280.251	366.278	-636.038	321.170	39.723	-612.762	392.712	57.274	-465.753	347.592	1.759
