NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:11:48	2548.90803999
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	894.695	309.186	1380.134	0.000	0.000	0.000	0.000	0.000	0.000	1097.161	150.578	1251.950	1099.824	91.909	975.910	1022.031	31.573	782.874	987.222	59.660	618.577	1067.504	161.736	825.420	781.177	453.421	27.778	0.000	0.000	0.000	0.000	0.000	0.000	1017.534	304.622	7.235	1078.374	486.612	1238.291	1081.404	545.042	968.591	974.491	569.751	777.191	915.626	520.243	627.487	0.000	0.000	0.000	882.521	478.991	410.006	0.000	0.000	0.000	918.365	397.805	75.192	0.000	0.000	0.000
2	0.00417	892.537	309.340	1379.574	0.000	0.000	0.000	0.000	0.000	0.000	1095.115	150.631	1251.650	1097.538	91.966	975.674	1019.485	31.602	782.302	984.384	59.442	618.234	1058.956	154.764	829.662	769.124	455.656	24.618	0.000	0.000	0.000	0.000	0.000	0.000	1017.451	304.598	7.266	1076.175	486.704	1238.180	1079.677	545.038	968.618	972.799	570.501	777.310	913.780	521.281	626.530	0.000	0.000	0.000	880.866	478.641	410.156	0.000	0.000	0.000	909.350	397.342	74.837	0.000	0.000	0.000
3	0.00833	890.337	309.347	1378.545	0.000	0.000	0.000	0.000	0.000	0.000	1092.992	150.490	1251.113	1095.321	91.952	975.520	1016.985	31.775	781.969	981.973	59.396	618.047	1063.063	162.238	825.785	760.471	456.321	26.411	0.000	0.000	0.000	0.000	0.000	0.000	1017.750	305.149	7.229	1073.783	486.854	1237.458	1077.790	545.788	967.887	970.983	571.281	776.751	912.088	522.146	626.419	0.000	0.000	0.000	878.992	478.381	410.542	0.000	0.000	0.000	900.797	397.329	75.130	0.000	0.000	0.000
4	0.01250	888.267	309.142	1378.638	1127.137	318.935	1273.987	0.000	0.000	0.000	1091.082	150.314	1250.190	1093.199	91.585	974.999	1014.779	31.508	781.212	979.736	58.782	617.013	1066.077	158.638	826.405	751.620	456.811	28.445	1183.351	264.580	38.761	0.000	0.000	0.000	1022.198	308.938	2.594	1071.696	486.891	1237.499	1076.772	545.667	968.342	969.598	571.747	776.971	910.684	522.940	624.780	0.000	0.000	0.000	876.930	479.196	410.006	0.000	0.000	0.000	892.282	399.197	72.923	0.000	0.000	0.000
5	0.01667	886.121	309.152	1377.932	1125.311	318.948	1273.698	0.000	0.000	0.000	1088.913	150.448	1249.528	1091.301	91.728	974.458	1012.038	31.525	780.402	977.370	58.917	616.626	1064.171	158.841	826.325	742.759	457.882	30.103	1183.291	264.582	38.809	0.000	0.000	0.000	1022.139	308.740	2.118	1069.480	486.912	1237.215	1074.860	546.195	967.884	967.950	572.386	776.768	908.871	523.770	624.416	0.000	0.000	0.000	875.247	478.896	409.704	0.000	0.000	0.000	884.411	400.660	72.667	0.000	0.000	0.000
6	0.02083	883.762	308.314	1377.708	1123.311	318.954	1273.234	0.000	0.000	0.000	1086.793	150.424	1248.814	1088.616	91.716	973.784	1009.786	31.672	780.091	975.057	58.879	616.150	1062.492	158.827	826.107	733.927	458.455	30.686	1183.458	264.813	38.661	0.000	0.000	0.000	1022.229	308.778	2.178	1067.206	487.222	1236.863	1073.053	546.463	967.752	966.536	573.065	776.826	907.109	524.617	624.227	0.000	0.000	0.000	873.071	478.024	408.727	0.000	0.000	0.000	875.702	401.018	72.227	0.000	0.000	0.000
7	0.02500	881.829	308.580	1377.516	1121.086	319.091	1272.865	0.000	0.000	0.000	1084.636	150.592	1248.238	1086.414	91.714	973.115	1007.207	31.771	779.502	972.584	58.989	615.737	1062.127	158.381	826.021	725.145	459.044	31.249	1183.530	265.042	38.582	0.000	0.000	0.000	1022.314	308.714	2.242	1065.084	487.152	1236.553	1071.610	547.033	967.657	965.064	574.127	776.826	905.471	526.297	624.291	0.000	0.000	0.000	871.422	478.087	408.465	0.000	0.000	0.000	867.580	402.262	71.001	0.000	0.000	0.000
8	0.02917	879.741	308.708	1377.044	1119.093	319.065	1272.487	0.000	0.000	0.000	1083.123	150.874	1247.668	1084.135	91.934	972.464	1005.059	31.819	779.149	969.565	59.272	615.077	1060.378	158.455	825.705	717.098	459.858	32.116	1183.190	264.789	38.826	0.000	0.000	0.000	1022.218	308.685	2.452	1062.930	487.359	1236.399	1069.978	547.419	967.514	963.126	574.761	776.516	903.752	526.953	623.753	0.000	0.000	0.000	869.330	477.541	407.468	0.000	0.000	0.000	860.605	402.640	69.592	0.000	0.000	0.000
9	0.03333	877.593	308.607	1376.454	1117.128	319.306	1272.224	0.000	0.000	0.000	1080.775	150.920	1247.362	1081.888	92.059	972.130	1002.587	32.089	778.857	966.979	59.724	614.471	1057.846	158.634	825.169	708.965	460.097	32.410	1183.335	264.968	38.851	0.000	0.000	0.000	1022.269	308.545	2.251	1060.714	487.489	1236.185	1068.443	547.825	967.407	961.496	575.546	776.456	902.151	528.114	623.706	1099.238	477.262	833.486	867.693	477.165	406.797	0.000	0.000	0.000	853.389	403.635	70.658	0.000	0.000	0.000
10	0.03750	875.308	308.527	1376.094	1114.891	319.393	1271.817	0.000	0.000	0.000	1078.877	150.972	1246.966	1079.927	92.227	971.626	1000.259	32.351	778.502	963.837	59.952	614.231	1055.673	158.809	824.774	701.162	460.677	33.592	1183.247	265.032	38.662	0.000	0.000	0.000	1022.271	308.573	2.367	1058.495	487.586	1235.834	1066.724	548.131	967.200	959.685	576.226	776.178	900.489	529.085	623.644	1096.677	477.434	832.757	865.881	477.068	406.272	0.000	0.000	0.000	845.821	404.529	71.017	0.000	0.000	0.000
