NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:12:10	2571.33741272
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	-394.398	345.564	1410.389	-620.224	321.220	1279.724	-643.229	333.076	870.719	-602.113	495.762	1262.198	-589.065	547.213	983.970	-483.170	591.978	801.164	-445.277	583.421	640.782	-549.693	508.509	835.953	-369.492	503.463	409.318	-586.275	464.425	126.994	0.000	0.000	0.000	-460.214	466.757	13.348	-541.190	162.634	1244.468	-509.408	109.029	974.742	-403.416	101.941	783.147	-385.899	139.210	621.925	-571.286	188.344	851.127	-534.522	245.840	383.230	-615.195	285.632	35.785	-594.557	357.652	58.603	-443.224	327.712	2.214
2	0.00417	-392.367	345.671	1410.530	-618.358	321.067	1279.891	-641.426	333.230	870.514	-600.328	495.962	1262.141	-587.359	547.128	983.839	-482.036	591.736	800.857	-444.057	583.885	640.581	-547.939	508.464	835.981	-366.623	503.434	409.729	-578.293	465.146	123.948	0.000	0.000	0.000	-449.112	468.230	12.884	-538.999	162.752	1244.500	-507.527	108.865	974.825	-401.606	101.951	783.430	-384.502	138.682	622.452	-569.293	188.634	851.163	-534.182	245.850	383.264	-615.121	285.540	35.623	-594.506	357.618	58.584	-443.963	327.409	1.582
3	0.00833	-390.646	345.834	1410.378	-616.609	320.985	1279.784	-639.331	333.464	870.378	-598.654	496.054	1261.904	-585.776	546.978	983.504	-480.125	592.005	800.436	-442.944	584.330	640.427	-545.789	508.126	835.545	-364.343	502.820	409.485	-570.152	465.739	121.079	0.000	0.000	0.000	-439.442	469.556	11.449	-537.319	162.564	1244.516	-505.659	108.733	974.892	-399.562	101.971	783.603	-382.661	138.689	622.442	-567.591	188.423	851.152	-533.683	246.060	382.871	-613.840	287.414	33.704	-594.658	357.720	58.642	-443.890	327.438	1.615
4	0.01250	-388.891	346.024	1410.441	-614.901	320.879	1279.574	-637.381	333.337	870.569	-596.801	495.985	1261.710	-584.194	546.720	983.370	-479.094	591.423	800.233	-441.465	584.755	640.679	-544.126	508.384	835.501	-361.859	502.409	409.553	-561.827	466.489	117.469	-520.881	402.908	116.453	-429.819	470.841	12.835	-535.167	162.604	1244.361	-503.543	109.092	974.965	-397.758	102.021	783.802	-380.984	138.528	622.337	-566.002	188.182	851.104	-532.313	247.696	381.320	-610.326	285.847	32.513	-593.854	356.814	57.533	-444.281	327.357	2.972
5	0.01667	-387.172	346.297	1410.245	-612.920	320.904	1279.350	-635.626	333.316	870.229	-595.078	496.027	1261.408	-582.239	546.539	983.285	-477.803	591.437	799.934	-440.457	585.259	640.519	-541.854	508.384	835.410	-359.510	501.987	410.291	-554.105	467.177	115.692	-511.730	404.392	111.811	-419.267	472.779	11.937	-533.243	162.550	1244.332	-501.591	108.931	974.898	-396.005	101.770	783.843	-378.938	138.726	622.245	-564.170	188.269	851.346	-532.137	247.436	381.952	-615.427	285.481	35.446	-593.979	356.853	57.544	-444.032	327.344	2.442
6	0.02083	-385.447	346.456	1409.981	-611.045	321.480	1278.751	-633.613	333.231	870.495	-593.303	496.014	1261.428	-580.769	546.501	983.225	-476.430	591.406	799.618	-439.556	585.931	640.407	-539.928	508.520	835.148	-356.760	502.092	410.612	-545.493	467.972	111.663	-504.128	404.946	110.229	-408.464	473.611	12.444	-531.330	162.641	1244.216	-499.787	108.741	974.883	-394.022	101.914	783.833	-377.379	138.647	622.370	-562.512	188.227	851.235	-531.819	247.425	381.389	-615.087	285.875	35.337	-594.110	356.938	57.445	-443.913	327.160	2.446
7	0.02500	-383.725	346.640	1409.903	-609.161	321.220	1279.184	-631.735	333.684	870.389	-591.481	496.011	1261.150	-578.805	546.652	983.003	-475.029	591.451	799.246	-438.637	586.631	640.061	-537.886	508.503	834.956	-353.989	502.041	411.645	-537.044	469.057	108.678	-494.949	405.346	107.084	-398.721	475.227	11.534	-529.618	162.592	1244.141	-497.916	108.603	974.940	-392.201	101.915	783.823	-375.738	138.541	622.396	-560.828	188.342	851.535	-531.188	247.749	381.203	-615.109	285.627	35.593	-594.043	357.042	57.450	-443.790	327.290	2.535
8	0.02917	-381.914	346.942	1409.963	-607.330	321.065	1279.091	-629.908	333.707	870.463	-589.853	496.124	1260.924	-577.157	546.670	982.748	-473.646	591.677	798.745	-437.600	587.056	639.992	-536.293	508.541	834.556	-350.815	502.387	412.506	-528.672	469.976	105.334	-486.653	406.004	105.027	-387.819	477.133	13.138	-527.600	162.629	1243.976	-496.143	108.636	974.731	-390.228	102.100	783.838	-373.918	138.437	622.249	-558.992	188.347	851.495	-530.823	247.767	381.137	-615.279	285.796	35.872	-593.996	357.024	57.445	-443.855	327.171	2.368
9	0.03333	-380.077	347.120	1409.793	-605.532	321.070	1278.997	-628.116	333.838	870.300	-588.006	496.012	1260.883	-575.455	546.674	982.487	-472.389	592.000	798.242	-436.986	587.649	639.453	-534.570	508.634	834.133	-347.738	502.909	413.564	-520.768	470.688	102.760	-478.216	407.947	103.062	-377.314	477.234	13.297	-525.851	162.513	1243.996	-494.251	108.595	974.605	-388.576	102.057	783.812	-372.161	138.400	622.158	-556.546	188.534	851.212	-530.389	247.649	381.161	-614.849	285.737	36.079	-596.189	357.772	57.620	-444.070	327.182	3.030
10	0.03750	-378.292	347.444	1409.898	-603.594	321.174	1278.791	-626.210	334.225	870.015	-586.156	496.223	1260.629	-573.693	546.549	982.321	-470.952	592.111	797.820	-436.102	588.105	639.500	-532.421	508.882	834.090	-345.404	502.840	413.573	-511.985	471.873	99.519	-469.312	408.721	101.237	-367.060	478.651	12.282	-523.731	162.489	1243.867	-492.472	108.550	974.568	-386.713	102.191	783.767	-370.557	138.231	622.138	-554.677	188.458	850.744	-529.979	247.656	381.048	-615.033	285.871	35.857	-594.521	356.917	58.079	-443.654	327.439	3.199
