NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:11:03	2503.81721951
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	998.272	336.356	1394.552	0.000	0.000	0.000	0.000	0.000	0.000	1194.325	200.007	1255.054	0.000	0.000	0.000	1107.641	91.763	784.856	1060.661	120.380	622.490	1164.409	201.484	828.790	1119.374	278.960	376.983	1205.005	306.957	39.686	0.000	0.000	0.000	1045.937	350.289	-1.243	1164.158	539.547	1243.640	1156.620	590.314	971.039	1048.515	597.334	779.590	1006.193	540.136	627.474	0.000	0.000	0.000	978.892	513.789	405.562	1191.949	382.416	54.946	0.000	0.000	0.000	1081.678	481.282	21.874
2	0.00417	995.852	336.362	1394.415	0.000	0.000	0.000	0.000	0.000	0.000	1192.142	199.728	1255.167	0.000	0.000	0.000	1105.048	91.056	784.981	1059.049	119.477	622.515	1161.144	201.113	828.375	1118.732	278.979	377.165	1203.061	305.194	42.034	0.000	0.000	0.000	1045.885	350.243	-1.313	1162.207	539.282	1243.766	1154.999	589.927	971.213	1046.590	597.331	779.919	1003.787	540.227	627.886	0.000	0.000	0.000	974.834	513.175	407.287	1191.868	382.545	54.973	0.000	0.000	0.000	1069.864	482.238	23.374
3	0.00833	993.544	336.282	1394.240	0.000	0.000	0.000	0.000	0.000	0.000	1189.405	199.491	1255.467	0.000	0.000	0.000	1102.268	90.876	784.680	1056.801	120.116	622.172	1159.081	201.239	828.499	1117.531	280.340	375.230	1203.190	305.512	42.032	0.000	0.000	0.000	1045.910	350.316	-1.424	1160.102	539.024	1243.812	1152.724	590.300	971.651	1045.015	597.391	779.991	1001.385	540.323	628.065	0.000	0.000	0.000	971.182	513.517	408.203	1192.092	382.622	54.916	0.000	0.000	0.000	1056.984	481.624	19.174
4	0.01250	991.385	336.370	1394.210	1223.666	371.542	1279.064	0.000	0.000	0.000	1187.253	198.998	1255.263	1184.780	146.732	978.467	1099.936	90.143	785.128	1054.539	118.909	622.367	1156.958	200.655	831.163	1116.855	279.543	376.327	1203.309	305.038	41.284	0.000	0.000	0.000	1044.964	348.622	1.434	1159.022	538.215	1243.350	1146.141	592.322	972.095	1043.233	597.730	779.700	999.249	540.219	627.792	1202.775	520.211	841.578	967.385	514.681	409.435	1191.481	382.612	54.460	0.000	0.000	0.000	1044.885	481.323	19.923
5	0.01667	989.098	335.864	1394.147	1221.582	371.192	1279.044	0.000	0.000	0.000	1184.744	198.597	1255.245	1182.490	146.157	978.735	1097.684	89.653	785.324	1052.352	118.447	622.504	1155.387	200.485	831.013	1116.045	279.454	376.294	1203.259	305.067	41.245	0.000	0.000	0.000	1044.846	348.409	1.667	1156.882	537.905	1243.241	1147.039	592.017	972.729	1041.340	597.855	779.503	996.668	540.516	628.214	1201.383	520.039	841.634	963.216	514.771	410.389	1165.729	399.760	56.179	0.000	0.000	0.000	1032.851	482.018	20.935
6	0.02083	986.807	336.018	1394.100	1219.449	370.803	1279.056	0.000	0.000	0.000	1182.272	198.605	1255.034	1179.913	145.612	978.500	1095.308	89.491	785.688	1049.777	118.240	623.491	1154.130	200.274	831.521	1115.193	279.323	376.524	1203.117	304.756	40.687	0.000	0.000	0.000	1045.013	348.383	2.029	1155.277	537.963	1243.493	1146.614	591.585	973.123	1039.821	597.997	779.469	994.350	541.231	628.357	1199.423	519.733	841.617	960.178	514.105	411.568	1156.072	407.032	56.266	0.000	0.000	0.000	1020.749	481.877	20.824
7	0.02500	984.374	335.842	1393.577	1217.355	370.422	1279.168	0.000	0.000	0.000	1179.753	198.336	1254.982	1177.163	145.187	978.411	1093.038	89.156	785.653	1047.071	117.582	624.120	1152.033	200.207	831.374	1114.489	279.285	376.243	1203.146	304.831	40.769	0.000	0.000	0.000	1045.057	348.518	1.909	1153.436	537.756	1243.297	1144.270	591.323	973.106	1038.035	598.063	779.459	992.152	541.601	628.182	1197.195	519.212	841.702	956.723	513.880	412.802	1146.426	413.855	57.313	0.000	0.000	0.000	1008.185	481.586	20.748
8	0.02917	982.178	336.186	1393.604	1214.821	370.000	1278.961	0.000	0.000	0.000	1177.179	197.835	1254.989	1174.653	144.576	978.425	1090.612	88.608	785.946	1045.001	117.447	623.945	1150.079	199.995	831.025	1113.655	279.186	376.278	1202.927	304.634	40.891	0.000	0.000	0.000	1044.979	348.389	1.968	1151.444	537.260	1242.933	1143.217	591.160	972.654	1036.201	598.164	779.439	989.317	541.608	628.317	1195.604	518.978	841.823	952.845	514.378	413.536	1137.319	429.274	65.005	0.000	0.000	0.000	996.224	482.958	22.198
9	0.03333	979.735	335.875	1393.414	1213.270	369.572	1279.057	0.000	0.000	0.000	1174.715	197.647	1254.939	1172.117	144.225	978.295	1088.103	88.237	785.767	1042.844	117.021	623.985	1148.107	199.879	831.022	1112.915	279.191	375.853	1203.062	304.876	40.779	0.000	0.000	0.000	1044.983	348.530	2.291	1149.653	537.029	1242.666	1141.234	591.080	972.419	1034.479	598.406	779.451	987.027	541.935	628.793	1193.752	518.864	841.882	949.564	514.577	414.068	1128.348	446.796	74.465	0.000	0.000	0.000	983.877	482.863	21.220
10	0.03750	977.508	335.899	1393.344	1210.930	369.188	1278.736	0.000	0.000	0.000	1172.218	197.350	1254.797	1169.559	143.701	978.548	1085.798	87.804	786.022	1040.460	117.026	623.895	1146.170	199.751	831.033	1112.112	279.275	375.862	1202.997	304.874	41.170	0.000	0.000	0.000	1042.928	348.566	2.292	1147.607	536.715	1242.565	1140.213	590.818	972.419	1032.697	598.443	779.424	984.552	542.274	629.230	1191.378	518.675	842.115	946.269	514.737	415.599	1119.111	459.924	80.818	0.000	0.000	0.000	971.660	482.134	21.429
11	0.04167	975.316	335.878	1393.134	1208.873	368.816	1278.580	0.000	0.000	0.000	1169.693	196.942	1254.484	1167.265	143.291	978.407	1082.920	87.322	786.100	1038.315	116.748	623.799	1143.808	199.489	830.723	1111.398	279.171	375.391	1203.196	305.132	40.687	0.000	0.000	0.000	1046.125	351.172	-0.185	1145.827	536.494	1242.447	1138.252	590.786	972.159	1030.931	598.683	779.527	982.228	542.870	629.752	1188.914	518.514	842.438	944.443	514.128	415.454	1109.205	462.165	79.188	0.000	0.000	0.000	959.458	482.549	22.420
12	0.04583	972.964	335.647	1392.994	1206.686	368.513	1278.559	0.000	0.000	0.000	1167.143	196.628	1254.449	1164.814	142.885	978.532	1080.394	87.075	786.196	1035.847	116.329	623.766	1142.029	199.566	830.788	1110.154	278.918	375.429	1203.048	305.121	40.781	0.000	0.000	0.000	1045.939	351.096	-0.338	1143.755	536.254	1242.267	1136.360	590.669	972.081	1029.303	598.946	779.484	979.954	543.259	630.069	1186.611	518.413	842.613	940.842	513.713	416.163	1098.762	461.251	74.895	0.000	0.000	0.000	947.357	482.032	22.364
13	0.05000	970.691	335.870	1392.937	1204.374	368.161	1278.358	0.000	0.000	0.000	1164.903	196.414	1254.402	1162.433	142.575	978.559	1077.892	86.867	786.015	1033.723	116.062	623.433	1139.896	199.475	830.711	1109.630	278.856	375.142	1202.578	304.791	41.136	0.000	0.000	0.000	1045.860	351.150	-0.246	1141.935	536.098	1242.098	1135.062	590.481	972.338	1027.567	599.019	779.371	977.735	543.846	630.331	1184.670	518.315	842.784	938.473	513.607	416.509	1088.846	463.715	73.370	0.000	0.000	0.000	935.599	481.779	22.372
14	0.05417	968.396	335.736	1392.623	1202.466	367.881	1278.223	0.000	0.000	0.000	1162.647	196.209	1254.285	1159.900	142.125	978.545	1075.412	86.416	785.764	1031.375	115.634	623.215	1137.563	199.423	830.403	1109.179	278.872	374.946	1202.938	305.236	41.138	0.000	0.000	0.000	1045.872	351.045	-0.083	1140.047	535.926	1241.981	1134.629	590.498	972.391	1025.888	599.509	779.580	975.425	543.939	630.240	1182.805	518.305	842.795	935.868	513.768	417.674	1078.932	465.749	71.301	0.000	0.000	0.000	923.884	481.279	22.439
15	0.05833	966.188	336.062	1392.606	1200.150	367.647	1277.878	0.000	0.000	0.000	1160.195	195.966	1253.961	1157.575	141.706	978.715	1072.887	86.030	785.663	1028.746	115.343	623.053	1135.361	199.364	830.325	1108.674	278.929	374.963	1202.737	304.819	40.942	0.000	0.000	0.000	1045.930	351.329	-0.408	1138.025	535.811	1241.429	1131.723	590.305	972.085	1024.155	599.656	779.651	973.071	544.464	630.395	1180.451	518.229	842.745	932.935	514.017	417.665	1069.016	467.388	68.803	0.000	0.000	0.000	912.680	482.014	24.681
16	0.06250	964.045	336.292	1392.463	1197.754	367.355	1277.807	0.000	0.000	0.000	1157.931	195.718	1253.915	1154.881	141.319	978.716	1070.234	85.741	785.473	1026.400	114.785	622.542	1133.199	199.395	830.185	1107.927	279.203	374.740	1202.887	305.438	41.224	0.000	0.000	0.000	1045.995	351.458	-0.339	1136.149	535.743	1241.288	1130.186	590.249	972.124	1022.493	600.026	779.424	970.855	544.922	630.435	1178.492	518.222	842.623	931.096	513.382	417.775	1059.095	468.663	65.990	0.000	0.000	0.000	901.442	483.714	26.500
17	0.06667	961.666	336.062	1392.113	1195.616	367.066	1277.545	0.000	0.000	0.000	1155.511	195.608	1253.744	1152.539	140.982	978.473	1067.607	85.339	785.179	1023.898	114.332	622.321	1131.005	199.219	829.814	1106.878	279.154	374.749	1202.921	305.214	41.004	0.000	0.000	0.000	1045.786	351.368	-0.203	1134.108	535.538	1241.077	1129.749	590.221	971.967	1020.771	600.308	779.370	968.571	545.919	630.897	1176.190	518.065	842.605	928.898	513.447	417.214	1049.162	469.606	62.976	0.000	0.000	0.000	889.602	482.504	26.772
18	0.07083	959.490	336.316	1391.844	1193.359	366.913	1277.445	0.000	0.000	0.000	1153.297	195.314	1253.658	1150.151	140.713	978.526	1065.419	85.054	785.075	1021.804	114.036	622.148	1128.871	199.138	829.551	1106.025	279.315	374.640	1202.762	305.189	41.204	0.000	0.000	0.000	1045.823	351.243	-0.294	1131.847	535.532	1240.471	1128.361	590.084	971.956	1019.105	600.666	779.320	966.511	546.711	631.339	1174.121	517.968	842.412	926.982	513.466	416.700	1039.215	470.250	59.875	0.000	0.000	0.000	878.651	481.820	25.691
19	0.07500	957.176	336.193	1391.500	1191.294	366.653	1277.246	0.000	0.000	0.000	1151.024	195.075	1253.421	1147.775	140.398	978.417	1062.827	84.810	785.147	1019.347	113.988	621.943	1126.651	199.125	829.300	1105.290	279.330	374.580	1202.808	305.340	40.802	0.000	0.000	0.000	1047.864	350.421	0.446	1129.791	535.403	1240.180	1126.822	590.192	971.426	1017.390	601.152	779.431	964.232	547.422	631.301	1172.337	517.569	842.352	924.324	513.454	417.040	1029.249	470.626	56.802	0.000	0.000	0.000	868.063	482.239	26.619
20	0.07917	954.920	336.191	1391.171	1188.979	366.422	1277.145	0.000	0.000	0.000	1148.813	195.028	1253.354	1145.117	140.080	978.066	1060.600	84.553	784.897	1017.109	113.543	621.664	1124.151	199.077	828.877	1104.628	279.224	374.534	1202.805	305.346	41.159	0.000	0.000	0.000	1044.846	348.775	1.969	1127.810	535.210	1239.922	1124.726	590.113	971.042	1015.837	601.493	779.304	962.034	547.876	631.245	1170.173	517.842	842.411	921.394	514.187	416.086	1019.365	470.815	53.922	0.000	0.000	0.000	857.455	483.518	28.242
21	0.08333	952.714	336.272	1390.794	1187.050	366.186	1276.985	0.000	0.000	0.000	1146.106	194.692	1253.106	1142.313	139.716	977.580	1058.008	84.444	784.628	1014.802	113.405	621.307	1122.027	199.110	828.696	1103.878	279.237	374.482	1202.413	305.301	41.157	0.000	0.000	0.000	1044.861	348.910	1.850	1126.019	534.927	1239.572	1123.290	590.010	970.888	1014.110	601.742	779.222	960.077	548.213	631.146	1167.506	517.807	842.224	919.619	513.184	415.528	1009.838	472.795	52.552	0.000	0.000	0.000	846.599	481.968	27.940
22	0.08750	950.449	336.103	1390.444	1184.744	366.031	1276.662	0.000	0.000	0.000	1143.948	194.554	1252.877	1139.724	139.339	977.036	1055.622	84.284	784.505	1012.607	113.073	621.315	1119.327	199.322	827.976	1103.026	279.415	374.391	1202.842	305.583	41.227	0.000	0.000	0.000	1044.878	349.173	1.643	1123.967	534.870	1239.430	1121.976	590.218	970.224	1012.421	602.166	779.247	957.786	548.343	630.915	1165.163	517.880	842.110	917.056	514.003	415.138	1000.415	475.404	51.929	0.000	0.000	0.000	836.074	481.096	27.447
