NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:12:54	2615.30190401
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	-174.764	422.179	1387.536	-403.666	389.941	1263.719	-411.801	408.224	856.219	-369.360	562.583	1243.206	-372.968	613.645	971.332	-322.397	672.387	768.723	-315.293	641.854	601.787	-293.254	567.898	826.147	0.000	0.000	0.000	-181.847	512.198	38.400	-170.478	438.676	53.610	-19.605	461.176	11.764	-337.353	223.790	1227.414	-338.191	172.729	957.126	-258.258	167.563	752.496	-239.224	223.455	600.252	-364.843	253.907	831.343	-391.405	297.067	365.612	-594.984	328.991	70.564	-566.729	402.623	82.211	-439.399	358.342	2.019
2	0.00417	-171.777	422.703	1388.158	-400.921	390.546	1263.943	-408.755	408.630	856.861	-366.112	563.242	1243.648	-370.145	614.385	971.926	-319.356	673.104	769.099	-312.297	641.894	601.973	-290.059	568.523	826.691	0.000	0.000	0.000	-181.776	511.977	38.505	-170.266	438.810	53.577	-19.110	461.117	11.526	-334.029	224.453	1227.890	-335.360	173.241	957.456	-255.912	167.785	752.788	-237.517	223.389	600.229	-361.442	255.016	831.268	-388.426	296.465	365.223	-594.035	328.544	72.621	-565.321	402.641	84.635	-439.327	358.634	2.075
3	0.00833	-168.899	423.151	1388.463	-397.975	390.774	1264.703	-405.589	409.799	856.924	-363.383	563.670	1244.260	-367.448	614.976	972.213	-316.865	673.873	769.172	-308.445	642.891	601.090	-286.835	569.311	827.646	0.000	0.000	0.000	-181.459	512.001	38.464	-170.269	438.566	53.746	-19.097	461.015	10.209	-331.130	224.873	1228.064	-332.265	174.045	957.695	-253.136	168.154	753.157	-235.169	224.008	600.237	-358.516	255.673	831.781	-384.935	296.573	364.388	-592.865	328.577	74.161	-564.217	402.188	84.417	-439.426	358.774	2.643
4	0.01250	-166.175	423.852	1388.951	-394.795	391.563	1264.709	-402.527	410.602	857.234	-360.358	563.911	1244.585	-364.102	615.939	972.690	-313.886	674.351	769.661	-305.094	643.144	600.746	-283.715	569.624	828.205	-165.608	522.915	390.503	-181.171	512.295	39.477	-169.829	438.928	53.412	-18.995	460.303	8.465	-330.092	225.592	1229.036	-328.405	175.182	958.323	-250.438	168.565	753.603	-232.956	224.107	601.044	-355.638	256.736	832.253	-381.106	297.352	363.082	-592.188	327.808	74.922	-562.511	400.092	85.422	-439.198	357.966	2.522
5	0.01667	-163.208	424.298	1389.577	-391.790	392.087	1264.962	-399.333	411.707	857.348	-357.356	564.397	1244.815	-361.247	616.460	972.927	-310.686	675.057	770.160	-301.550	643.891	600.893	-280.627	570.245	828.498	-163.968	523.126	390.034	-180.968	512.209	39.540	-169.710	438.816	53.426	-18.732	460.265	7.648	-327.115	226.103	1229.164	-325.576	175.563	958.539	-248.052	168.536	753.853	-230.994	224.301	601.456	-352.329	257.745	832.380	-378.123	296.737	363.531	-590.734	327.286	77.450	-560.967	399.749	86.302	-439.472	357.749	2.274
6	0.02083	-160.041	424.998	1389.660	-388.802	392.710	1265.397	-396.165	412.527	857.753	-354.675	564.671	1245.138	-358.121	617.614	973.368	-307.485	675.743	770.613	-298.312	644.414	601.211	-277.221	570.997	829.324	-161.588	522.851	389.270	-180.906	512.169	39.539	-169.561	438.817	53.422	-18.964	460.339	6.916	-324.390	226.615	1229.222	-322.681	175.957	958.831	-245.445	169.058	753.949	-228.956	224.352	601.524	-349.536	258.254	832.919	-374.392	296.408	363.621	-590.185	326.950	80.141	-559.357	399.171	87.307	-439.030	358.006	2.996
7	0.02500	-157.155	425.550	1389.819	-385.956	393.277	1265.733	-392.909	412.844	858.320	-351.857	565.203	1245.327	-355.145	618.403	973.722	-304.215	676.625	770.810	-294.729	645.139	601.777	-274.183	571.661	829.553	-157.775	521.997	387.981	-180.718	512.076	39.473	-169.501	438.617	53.351	-18.853	460.376	6.154	-321.447	227.191	1229.462	-319.846	176.281	959.181	-242.899	169.322	754.135	-226.847	224.675	601.370	-346.183	259.255	832.637	-371.096	295.814	363.725	-589.064	326.984	82.623	-557.670	398.510	88.564	-439.050	358.013	2.832
8	0.02917	-154.240	426.137	1390.145	-382.783	393.823	1265.686	-389.740	413.219	858.490	-348.858	565.693	1245.585	-352.155	619.044	973.805	-300.722	677.307	771.295	-291.262	645.872	602.145	-270.925	572.336	830.124	-150.973	517.371	388.636	-180.577	511.988	39.602	-169.426	438.719	53.245	-18.906	460.048	5.139	-318.999	228.009	1230.005	-316.638	176.747	960.222	-240.260	169.640	754.572	-224.670	224.850	601.663	-343.082	260.134	832.491	-367.574	295.175	363.857	-587.259	326.005	83.260	-556.436	397.592	89.639	-438.893	357.757	2.710
9	0.03333	-151.320	426.492	1390.559	-379.728	393.977	1266.196	-386.843	413.989	858.467	-345.993	566.260	1246.184	-349.097	619.622	974.112	-297.226	678.061	772.122	-287.118	646.939	603.286	-267.606	573.030	830.155	-148.979	517.522	387.393	-180.477	511.834	39.469	-169.322	438.381	53.401	-18.675	459.939	4.784	-315.891	228.384	1230.951	-313.441	177.097	961.051	-237.821	169.578	754.646	-222.411	224.949	601.661	-340.089	260.863	832.550	-363.290	294.918	364.453	-586.104	325.811	83.719	-555.348	397.186	91.123	-438.652	357.978	2.890
10	0.03750	-148.477	426.937	1390.843	-376.813	394.511	1265.990	-383.814	415.198	858.741	-342.680	566.993	1246.918	-346.069	620.251	974.528	-293.643	678.816	772.610	-282.532	647.989	604.924	-264.797	573.758	830.404	-147.707	517.281	387.120	-180.235	511.900	39.457	-169.217	438.376	53.279	-18.517	459.793	4.569	-312.846	228.876	1230.847	-310.723	177.113	961.450	-235.489	169.684	754.650	-220.224	225.039	601.911	-336.987	261.633	832.951	-359.221	294.532	365.150	-583.821	326.100	84.988	-553.001	397.330	93.125	-438.691	357.963	2.721
