NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:09:38	2418.53507722
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	1017.039	290.987	1396.478	1248.693	321.593	1280.245	0.000	0.000	0.000	1214.130	156.587	1254.885	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1188.655	489.606	1244.747	1197.204	556.329	976.940	1091.486	569.755	785.979	1053.534	512.584	636.388	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1189.457	377.152	132.800	1093.249	442.962	24.850
2	0.00417	1014.610	291.179	1396.446	1245.866	321.661	1280.208	0.000	0.000	0.000	1211.608	156.835	1254.569	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1186.466	489.508	1244.533	1195.597	556.481	976.673	1089.906	569.883	785.238	1051.298	512.043	635.457	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1178.849	376.806	133.136	1080.195	443.474	24.190
3	0.00833	1012.053	291.321	1396.309	1243.659	321.468	1280.086	0.000	0.000	0.000	1209.324	156.690	1254.548	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1186.175	488.670	1244.361	1193.782	556.392	976.997	1088.239	569.984	784.869	1049.433	512.760	635.510	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1165.724	374.687	132.321	1067.293	444.737	23.881
4	0.01250	1009.611	291.357	1396.116	1241.248	321.311	1280.054	0.000	0.000	0.000	1206.981	156.504	1255.222	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1182.841	489.174	1244.169	1189.131	557.738	978.437	1086.580	570.104	784.923	1047.807	512.635	635.199	0.000	0.000	0.000	980.086	471.944	411.404	0.000	0.000	0.000	1157.956	379.614	125.975	1054.359	445.896	24.742
5	0.01667	1007.116	291.451	1395.851	1238.896	321.177	1279.870	0.000	0.000	0.000	1204.572	156.273	1255.208	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1180.585	489.343	1243.605	1187.156	557.728	978.491	1084.939	570.219	784.699	1046.036	512.821	635.088	0.000	0.000	0.000	976.044	472.613	412.881	0.000	0.000	0.000	1146.238	378.223	123.901	1041.300	446.714	25.294
6	0.02083	1004.728	291.269	1395.639	1236.526	321.072	1279.765	0.000	0.000	0.000	1202.320	156.120	1254.974	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1179.465	488.724	1243.628	1185.963	557.655	978.644	1083.368	570.285	784.572	1044.375	513.006	634.893	0.000	0.000	0.000	972.092	472.516	413.620	1171.204	449.479	118.687	1135.472	379.211	119.516	1028.006	447.545	23.734
7	0.02500	1002.243	291.345	1395.512	1234.095	320.892	1279.639	0.000	0.000	0.000	1199.654	156.440	1255.234	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1176.673	489.352	1243.115	1183.723	558.623	978.344	1081.854	570.401	784.200	1042.461	513.312	634.985	0.000	0.000	0.000	967.042	473.604	414.070	1160.570	452.708	119.251	1125.166	381.211	115.258	1014.896	448.317	24.131
8	0.02917	999.813	291.455	1395.360	1231.843	320.842	1279.608	0.000	0.000	0.000	1196.807	156.267	1255.079	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1174.620	489.138	1242.935	1182.537	558.149	978.332	1080.253	570.602	784.168	1040.619	513.601	634.816	0.000	0.000	0.000	963.561	473.881	415.420	1149.578	450.730	110.472	1114.825	382.853	113.565	1002.126	450.631	26.398
9	0.03333	997.309	291.591	1394.959	1229.271	320.792	1279.304	0.000	0.000	0.000	1194.542	156.189	1254.846	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1172.940	488.803	1242.751	1180.920	558.116	978.418	1078.416	570.731	783.914	1038.699	513.834	634.478	0.000	0.000	0.000	960.077	474.286	416.738	1139.189	454.488	109.556	1104.869	384.361	110.286	988.806	450.781	25.576
10	0.03750	994.797	291.570	1394.611	1227.078	320.679	1279.181	0.000	0.000	0.000	1191.908	156.108	1254.663	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1171.631	488.351	1242.318	1179.221	558.091	978.518	1076.892	570.754	783.496	1036.741	514.258	634.352	0.000	0.000	0.000	956.942	474.585	417.552	1127.950	452.300	103.100	1093.755	385.373	111.770	975.509	450.105	25.063
