NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:11:25	2526.34771626
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	-378.833	372.070	1399.449	-609.488	350.154	1281.844	-639.994	356.859	869.156	-584.565	524.094	1261.235	-584.190	575.021	984.019	-503.218	627.084	788.362	-459.982	589.584	627.143	-539.930	529.369	831.653	-367.574	511.327	399.979	-620.833	483.678	153.811	0.000	0.000	0.000	-515.813	475.188	15.584	-535.810	187.794	1245.082	-521.237	133.590	974.067	-427.672	134.377	775.464	-399.427	187.453	620.171	-572.579	209.507	848.988	-514.107	271.525	380.752	-592.711	312.251	37.096	0.000	0.000	0.000	-421.382	344.829	1.843
2	0.00417	-377.040	372.069	1399.542	-607.813	349.899	1281.748	-638.480	356.533	869.095	-582.986	523.788	1261.480	-582.689	574.412	984.197	-501.720	627.032	788.547	-458.501	589.109	626.992	-536.929	528.873	832.809	-364.296	511.250	399.864	-613.633	483.538	151.350	0.000	0.000	0.000	-505.755	474.972	15.667	-533.873	187.541	1245.325	-519.336	133.324	974.176	-426.320	133.978	775.539	-397.846	186.962	620.333	-570.882	209.326	849.134	-513.530	271.700	380.506	-592.785	312.419	36.623	-574.712	383.385	54.553	-421.448	344.658	1.860
3	0.00833	-375.233	372.113	1399.318	-606.102	349.597	1281.656	-636.506	356.457	868.979	-581.431	523.235	1261.296	-581.201	573.993	984.153	-500.051	626.727	788.834	-457.071	588.822	627.043	-535.123	528.481	833.378	-359.706	511.837	402.882	-606.159	483.750	148.755	0.000	0.000	0.000	-495.226	474.761	15.824	-532.061	187.241	1245.235	-517.570	132.933	974.244	-424.731	133.507	775.898	-396.807	186.327	620.427	-568.888	209.109	848.756	-512.867	271.620	380.370	-592.748	312.329	36.670	-574.516	383.543	54.444	-421.716	344.479	2.069
4	0.01250	-373.677	372.212	1399.592	-604.521	349.082	1281.892	-634.613	356.505	868.699	-579.736	523.210	1261.295	-579.553	573.682	984.285	-498.815	626.064	788.829	-455.353	588.140	627.387	-533.688	528.415	833.885	-355.137	512.442	405.579	-598.934	483.521	145.937	-562.622	417.768	138.574	-485.038	474.328	15.008	-530.348	186.897	1245.520	-515.753	132.728	974.550	-422.870	133.180	775.873	-395.237	185.742	619.918	-567.161	208.970	848.651	-511.785	272.695	379.726	-592.956	311.791	36.495	-574.948	383.440	55.181	-421.897	344.208	2.383
5	0.01667	-371.925	372.064	1399.538	-602.641	349.011	1281.616	-632.688	356.342	868.712	-578.210	522.923	1261.444	-577.831	573.404	984.598	-497.166	625.954	789.038	-453.565	587.916	627.550	-531.798	528.302	834.060	-352.959	510.645	406.479	-589.785	483.683	142.928	-554.130	417.606	135.298	-475.748	473.774	14.763	-528.505	186.582	1245.568	-513.947	132.320	974.605	-421.228	132.656	776.215	-393.888	185.317	619.744	-565.483	208.861	848.519	-510.757	273.219	378.570	-592.497	311.672	36.431	-574.273	383.587	55.030	-421.693	344.305	1.946
6	0.02083	-370.271	372.307	1399.389	-600.966	348.672	1281.528	-630.899	356.496	868.797	-576.419	522.552	1261.505	-576.313	573.109	984.634	-495.650	625.577	789.070	-451.755	587.794	627.882	-530.080	528.244	833.952	-349.624	510.859	406.862	-582.305	483.714	140.135	-545.870	418.096	133.614	-464.860	473.970	15.370	-526.742	186.502	1245.607	-512.414	131.676	974.692	-419.586	132.066	776.431	-392.526	184.773	620.044	-563.858	208.664	848.399	-510.392	272.930	378.770	-592.985	311.875	36.688	-573.415	383.198	55.157	-421.685	344.279	2.017
7	0.02500	-368.563	372.225	1399.384	-599.161	348.384	1281.537	-629.118	356.515	868.555	-574.580	522.242	1261.483	-574.911	572.523	984.491	-494.089	625.376	789.218	-449.887	587.622	628.043	-528.128	528.161	834.280	-346.415	510.607	407.444	-574.582	483.646	137.092	-539.021	417.697	131.936	-453.416	474.259	13.720	-524.819	186.245	1245.766	-510.720	131.412	974.590	-417.868	131.478	776.341	-391.127	184.274	620.116	-562.096	208.534	848.248	-509.795	272.782	378.605	-593.062	311.950	36.727	-575.247	383.879	55.527	-421.617	344.356	1.911
8	0.02917	-366.888	372.467	1399.163	-597.478	348.037	1281.580	-627.339	356.466	868.668	-573.254	521.806	1261.622	-573.319	572.283	984.628	-492.630	625.181	789.121	-448.733	587.274	627.817	-526.719	528.126	834.385	-343.545	510.204	407.806	-566.660	483.808	134.311	-530.047	418.134	128.527	-444.855	473.492	13.746	-523.028	186.105	1245.689	-509.088	131.079	974.693	-416.181	131.283	776.242	-389.773	183.851	620.092	-560.357	208.405	848.274	-509.341	272.686	378.528	-592.828	311.923	36.530	-574.996	383.672	55.468	-421.548	344.318	1.952
9	0.03333	-364.932	372.438	1399.209	-595.756	347.682	1281.435	-625.448	356.515	868.671	-571.628	521.671	1261.448	-571.712	571.933	984.556	-490.971	624.925	789.125	-446.753	587.365	628.032	-525.429	528.106	834.544	-339.861	510.627	409.720	-558.674	483.855	130.788	-523.431	417.978	128.223	-434.805	472.818	13.580	-521.257	185.715	1245.884	-507.425	130.703	974.900	-414.654	130.906	776.271	-388.497	183.282	620.176	-558.626	208.323	847.970	-508.715	272.727	378.306	-592.678	311.914	36.505	-575.010	383.655	55.431	-421.612	344.237	2.058
10	0.03750	-363.418	372.550	1399.211	-594.128	347.491	1281.301	-623.627	356.537	868.647	-570.010	521.316	1261.453	-570.359	571.503	984.481	-489.385	624.836	789.126	-445.103	587.244	627.836	-523.616	528.117	834.696	-336.192	510.940	411.098	-550.763	483.800	127.262	-512.953	418.289	123.958	-423.870	473.722	12.811	-519.469	185.526	1245.823	-505.810	130.383	974.856	-413.199	130.439	776.170	-387.295	182.865	620.039	-556.957	208.149	847.858	-508.293	272.584	378.154	-592.952	311.914	36.815	-575.163	383.909	55.543	-421.670	344.137	2.070
