NO_OF_FRAMES	960
NO_OF_CAMERAS	7
NO_OF_MARKERS	21
FREQUENCY	240
NO_OF_ANALOG	0
ANALOG_FREQUENCY	0
DESCRIPTION	--
TIME_STAMP	2022-10-29, 11:12:33	2593.97280045
DATA_INCLUDED	3D
MARKER_NAMES	head	C7	L5	AcrL	EllL	HaL	FingerL	TrochL	KnL	MalLatL	MalMedL	ToeL	AcrR	EllR	HaR	FingerR	TrochR	KnR	MalLatR	MalMedR	ToeR
Frame	Time	head X	head Y	head Z	C7 X	C7 Y	C7 Z	L5 X	L5 Y	L5 Z	AcrL X	AcrL Y	AcrL Z	EllL X	EllL Y	EllL Z	HaL X	HaL Y	HaL Z	FingerL X	FingerL Y	FingerL Z	TrochL X	TrochL Y	TrochL Z	KnL X	KnL Y	KnL Z	MalLatL X	MalLatL Y	MalLatL Z	MalMedL X	MalMedL Y	MalMedL Z	ToeL X	ToeL Y	ToeL Z	AcrR X	AcrR Y	AcrR Z	EllR X	EllR Y	EllR Z	HaR X	HaR Y	HaR Z	FingerR X	FingerR Y	FingerR Z	TrochR X	TrochR Y	TrochR Z	KnR X	KnR Y	KnR Z	MalLatR X	MalLatR Y	MalLatR Z	MalMedR X	MalMedR Y	MalMedR Z	ToeR X	ToeR Y	ToeR Z	
1	0.00000	883.093	305.823	1384.878	0.000	0.000	0.000	0.000	0.000	0.000	1070.175	154.416	1239.832	0.000	0.000	0.000	966.500	55.726	770.111	923.514	92.756	610.537	1049.640	160.327	822.187	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1049.929	323.515	0.548	1067.810	493.464	1232.158	1089.327	551.640	963.344	996.903	579.879	765.509	945.893	531.297	618.359	0.000	0.000	0.000	873.521	469.607	399.745	0.000	0.000	0.000	806.523	399.993	74.467	654.119	452.585	55.179
2	0.00417	880.974	306.141	1384.617	0.000	0.000	0.000	0.000	0.000	0.000	1068.079	154.914	1239.470	1055.006	103.515	962.199	965.147	57.251	768.698	925.483	96.028	607.394	1048.115	160.585	821.665	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1050.106	323.596	0.409	1065.861	493.854	1231.687	1087.702	551.679	962.733	995.502	580.543	765.350	944.212	531.867	617.418	1099.543	477.594	826.738	872.161	469.330	399.716	0.000	0.000	0.000	802.687	399.673	75.537	650.246	451.850	55.626
3	0.00833	878.771	306.634	1383.969	0.000	0.000	0.000	0.000	0.000	0.000	1066.390	155.254	1239.278	1052.949	104.412	962.114	963.520	57.840	768.287	920.611	94.225	609.772	1045.890	161.032	820.951	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	0.000	1049.752	323.161	0.424	1063.764	494.487	1230.999	1086.154	552.453	962.734	994.175	581.268	765.139	942.686	533.082	615.987	1096.999	478.184	826.646	870.809	469.457	399.116	0.000	0.000	0.000	798.229	399.754	75.830	645.577	451.250	56.885
4	0.01250	876.821	306.921	1383.235	1110.379	324.043	1267.307	0.000	0.000	0.000	1064.529	155.616	1239.057	1052.103	104.418	961.897	962.035	58.281	768.348	919.531	94.385	609.093	1043.808	160.420	821.712	0.000	0.000	0.000	1204.947	266.672	46.159	0.000	0.000	0.000	1050.211	322.456	1.968	1061.740	494.888	1230.390	1085.041	552.286	962.951	992.951	581.360	764.859	941.119	533.560	615.214	1094.641	477.966	825.999	869.265	469.500	399.064	816.347	470.592	53.167	794.962	399.769	73.398	641.470	451.179	55.897
5	0.01667	874.744	307.158	1382.834	1107.981	324.600	1266.892	0.000	0.000	0.000	1062.432	156.107	1238.775	1049.334	105.278	961.774	959.979	58.934	768.025	917.839	95.178	608.374	1041.862	160.665	821.520	0.000	0.000	0.000	1204.755	266.502	46.295	0.000	0.000	0.000	1050.112	322.571	2.016	1059.532	495.403	1229.858	1083.331	552.690	962.782	991.625	582.247	764.356	939.767	534.793	614.595	1092.149	478.340	825.742	868.342	469.586	398.668	812.922	471.066	53.432	791.604	400.298	72.322	637.775	450.393	56.570
6	0.02083	872.308	307.549	1382.026	1105.953	325.039	1266.639	0.000	0.000	0.000	1060.102	156.902	1238.935	1047.183	106.012	961.586	958.040	59.735	767.743	916.136	96.055	607.667	1040.078	160.918	821.460	0.000	0.000	0.000	1205.087	266.892	46.246	0.000	0.000	0.000	1050.105	322.604	2.078	1057.482	495.830	1229.422	1081.033	553.389	961.974	989.852	583.555	763.975	938.384	536.059	614.316	1089.354	478.517	825.788	866.264	470.268	398.291	809.477	471.595	53.555	787.720	399.985	71.657	634.029	449.809	57.380
7	0.02500	870.320	307.849	1381.633	1103.888	325.640	1266.404	0.000	0.000	0.000	1058.309	157.202	1238.723	1045.409	106.533	961.405	956.858	60.498	767.533	914.566	96.803	607.179	1037.978	161.316	821.288	0.000	0.000	0.000	1204.696	266.374	46.161	0.000	0.000	0.000	1050.287	322.393	2.047	1055.367	496.389	1229.028	1079.776	553.623	961.770	988.725	584.059	763.487	936.725	536.597	613.811	1086.825	478.939	825.545	865.632	469.760	399.091	805.303	471.882	51.774	784.529	400.133	71.715	630.905	449.700	58.257
8	0.02917	868.167	308.317	1381.322	1101.544	326.212	1266.209	0.000	0.000	0.000	1056.122	157.594	1238.550	1043.394	107.090	961.184	955.048	61.220	767.198	913.489	97.446	606.869	1035.803	161.576	821.454	0.000	0.000	0.000	1204.646	266.577	46.249	0.000	0.000	0.000	1050.451	322.408	1.961	1053.215	496.965	1228.541	1077.918	554.043	961.206	987.271	584.999	763.150	935.083	537.648	613.665	1084.234	479.362	825.302	863.667	469.981	399.345	801.886	471.976	50.901	778.119	403.011	70.578	627.447	449.182	58.548
9	0.03333	865.947	308.524	1380.872	1099.481	326.846	1265.914	0.000	0.000	0.000	1053.956	158.125	1238.372	1041.481	107.844	961.128	953.328	61.975	767.070	912.079	98.453	606.887	1033.651	161.973	821.381	0.000	0.000	0.000	1204.674	266.622	46.290	0.000	0.000	0.000	1050.273	322.310	1.966	1051.060	497.479	1228.121	1076.216	554.384	960.814	985.906	585.381	762.114	933.495	538.717	613.499	1081.726	479.699	825.069	862.347	469.845	399.627	798.913	472.169	50.653	776.753	402.262	70.828	624.732	448.945	58.834
10	0.03750	863.719	308.857	1380.380	1096.895	327.271	1265.759	0.000	0.000	0.000	1051.713	158.789	1238.014	1039.523	108.445	960.781	951.675	62.701	766.677	910.774	99.330	606.390	1031.701	162.329	821.385	0.000	0.000	0.000	1204.946	266.937	46.526	0.000	0.000	0.000	1050.183	322.228	2.113	1048.972	498.028	1227.721	1074.279	554.849	960.348	984.653	586.371	761.838	932.031	539.909	612.973	1079.185	480.268	824.943	860.928	469.747	399.933	796.064	472.461	50.383	775.277	401.755	71.155	622.035	448.485	59.463
